"","state","date","confirmed","deaths","recovered","type"
"475","Queensland",2020-03-21,221,0,8,"cumulative"
"476","South Australia",2020-03-21,67,0,3,"cumulative"
"477","Western Australia",2020-03-21,90,1,0,"cumulative"
"478","Tasmania",2020-03-21,16,0,3,"cumulative"
"479","Northern Territory",2020-03-21,3,0,0,"cumulative"
"480","Australian Capital Territory",2020-03-21,9,0,0,"cumulative"
"481","National",2020-01-22,0,0,0,"cumulative"
"482","National",2020-01-23,0,0,0,"cumulative"
"483","National",2020-01-24,0,0,0,"cumulative"
"484","National",2020-01-25,0,0,0,"cumulative"
"485","National",2020-01-26,4,0,0,"cumulative"
"486","National",2020-01-27,5,0,0,"cumulative"
"487","National",2020-01-28,5,0,0,"cumulative"
"488","National",2020-01-29,6,0,0,"cumulative"
"489","National",2020-01-30,9,0,2,"cumulative"
"490","National",2020-01-31,9,0,2,"cumulative"
"491","National",2020-02-01,12,0,2,"cumulative"
"492","National",2020-02-02,12,0,2,"cumulative"
"493","National",2020-02-03,12,0,2,"cumulative"
"494","National",2020-02-04,13,0,2,"cumulative"
"495","National",2020-02-05,13,0,2,"cumulative"
"496","National",2020-02-06,14,0,2,"cumulative"
"497","National",2020-02-07,15,0,2,"cumulative"
"498","National",2020-02-08,15,0,2,"cumulative"
"499","National",2020-02-09,15,0,2,"cumulative"
"500","National",2020-02-10,15,0,2,"cumulative"
"501","National",2020-02-11,15,0,2,"cumulative"
"502","National",2020-02-12,15,0,2,"cumulative"
"503","National",2020-02-13,15,0,8,"cumulative"
"504","National",2020-02-14,15,0,8,"cumulative"
"505","National",2020-02-15,15,0,8,"cumulative"
"506","National",2020-02-16,15,0,8,"cumulative"
"507","National",2020-02-17,15,0,10,"cumulative"
"508","National",2020-02-18,15,0,10,"cumulative"
"509","National",2020-02-19,15,0,10,"cumulative"
"510","National",2020-02-20,15,0,10,"cumulative"
"511","National",2020-02-21,15,0,11,"cumulative"
"512","National",2020-02-22,15,0,11,"cumulative"
"513","National",2020-02-23,15,0,11,"cumulative"
"514","National",2020-02-24,15,0,11,"cumulative"
"515","National",2020-02-25,15,0,11,"cumulative"
"516","National",2020-02-26,15,0,11,"cumulative"
"517","National",2020-02-27,15,0,11,"cumulative"
"518","National",2020-02-28,15,0,11,"cumulative"
"519","National",2020-02-29,25,0,11,"cumulative"
"520","National",2020-03-01,27,1,11,"cumulative"
"521","National",2020-03-02,30,1,11,"cumulative"
"522","National",2020-03-03,39,1,11,"cumulative"
"523","National",2020-03-04,52,2,11,"cumulative"
"524","National",2020-03-05,55,2,21,"cumulative"
"525","National",2020-03-06,60,2,21,"cumulative"
"526","National",2020-03-07,63,2,21,"cumulative"
"527","National",2020-03-08,76,3,21,"cumulative"
"528","National",2020-03-09,91,3,21,"cumulative"
"529","National",2020-03-10,107,3,21,"cumulative"
"530","National",2020-03-11,128,3,21,"cumulative"
"531","National",2020-03-12,128,3,21,"cumulative"
"532","National",2020-03-13,200,3,23,"cumulative"
"533","National",2020-03-14,250,3,23,"cumulative"
"534","National",2020-03-15,297,3,23,"cumulative"
"535","National",2020-03-16,377,3,23,"cumulative"
"536","National",2020-03-17,452,5,23,"cumulative"
"537","National",2020-03-18,568,6,23,"cumulative"
"538","National",2020-03-19,681,6,26,"cumulative"
"539","National",2020-03-20,791,7,26,"cumulative"
"540","National",2020-03-21,1071,7,26,"cumulative"
"541","New South Wales",2020-01-22,NA,NA,NA,"daily"
"542","Victoria",2020-01-22,NA,NA,NA,"daily"
"543","Queensland",2020-01-22,NA,NA,NA,"daily"
"544","South Australia",2020-01-22,NA,NA,NA,"daily"
"545","Western Australia",2020-01-22,NA,NA,NA,"daily"
"546","Tasmania",2020-01-22,NA,NA,NA,"daily"
"547","Northern Territory",2020-01-22,NA,NA,NA,"daily"
"548","Australian Capital Territory",2020-01-22,NA,NA,NA,"daily"
"549","New South Wales",2020-01-23,0,0,0,"daily"
"550","Victoria",2020-01-23,0,0,0,"daily"
"551","Queensland",2020-01-23,0,0,0,"daily"
"552","South Australia",2020-01-23,0,0,0,"daily"
"553","Western Australia",2020-01-23,0,0,0,"daily"
"554","Tasmania",2020-01-23,0,0,0,"daily"
"555","Northern Territory",2020-01-23,0,0,0,"daily"
"556","Australian Capital Territory",2020-01-23,0,0,0,"daily"
"557","New South Wales",2020-01-24,0,0,0,"daily"
"558","Victoria",2020-01-24,0,0,0,"daily"
"559","Queensland",2020-01-24,0,0,0,"daily"
"560","South Australia",2020-01-24,0,0,0,"daily"
"561","Western Australia",2020-01-24,0,0,0,"daily"
"562","Tasmania",2020-01-24,0,0,0,"daily"
"563","Northern Territory",2020-01-24,0,0,0,"daily"
"564","Australian Capital Territory",2020-01-24,0,0,0,"daily"
"565","New South Wales",2020-01-25,0,0,0,"daily"
"566","Victoria",2020-01-25,0,0,0,"daily"
"567","Queensland",2020-01-25,0,0,0,"daily"
"568","South Australia",2020-01-25,0,0,0,"daily"
"569","Western Australia",2020-01-25,0,0,0,"daily"
"570","Tasmania",2020-01-25,0,0,0,"daily"
"571","Northern Territory",2020-01-25,0,0,0,"daily"
"572","Australian Capital Territory",2020-01-25,0,0,0,"daily"
"573","New South Wales",2020-01-26,3,0,0,"daily"
"574","Victoria",2020-01-26,1,0,0,"daily"
"575","Queensland",2020-01-26,0,0,0,"daily"
"576","South Australia",2020-01-26,0,0,0,"daily"
"577","Western Australia",2020-01-26,0,0,0,"daily"
"578","Tasmania",2020-01-26,0,0,0,"daily"
"579","Northern Territory",2020-01-26,0,0,0,"daily"
"580","Australian Capital Territory",2020-01-26,0,0,0,"daily"
"581","New South Wales",2020-01-27,1,0,0,"daily"
"582","Victoria",2020-01-27,0,0,0,"daily"
"583","Queensland",2020-01-27,0,0,0,"daily"
"584","South Australia",2020-01-27,0,0,0,"daily"
"585","Western Australia",2020-01-27,0,0,0,"daily"
"586","Tasmania",2020-01-27,0,0,0,"daily"
"587","Northern Territory",2020-01-27,0,0,0,"daily"
"588","Australian Capital Territory",2020-01-27,0,0,0,"daily"
"589","New South Wales",2020-01-28,0,0,0,"daily"
"590","Victoria",2020-01-28,0,0,0,"daily"
"591","Queensland",2020-01-28,0,0,0,"daily"
"592","South Australia",2020-01-28,0,0,0,"daily"
"593","Western Australia",2020-01-28,0,0,0,"daily"
"594","Tasmania",2020-01-28,0,0,0,"daily"
"595","Northern Territory",2020-01-28,0,0,0,"daily"
"596","Australian Capital Territory",2020-01-28,0,0,0,"daily"
"597","New South Wales",2020-01-29,0,0,0,"daily"
"598","Victoria",2020-01-29,0,0,0,"daily"
"599","Queensland",2020-01-29,1,0,0,"daily"
"600","South Australia",2020-01-29,0,0,0,"daily"
"601","Western Australia",2020-01-29,0,0,0,"daily"
"602","Tasmania",2020-01-29,0,0,0,"daily"
"603","Northern Territory",2020-01-29,0,0,0,"daily"
"604","Australian Capital Territory",2020-01-29,0,0,0,"daily"
"605","New South Wales",2020-01-30,0,0,2,"daily"
"606","Victoria",2020-01-30,1,0,0,"daily"
"607","Queensland",2020-01-30,2,0,0,"daily"
"608","South Australia",2020-01-30,0,0,0,"daily"
"609","Western Australia",2020-01-30,0,0,0,"daily"
"610","Tasmania",2020-01-30,0,0,0,"daily"
"611","Northern Territory",2020-01-30,0,0,0,"daily"
"612","Australian Capital Territory",2020-01-30,0,0,0,"daily"
"613","New South Wales",2020-01-31,0,0,0,"daily"
"614","Victoria",2020-01-31,1,0,0,"daily"
"615","Queensland",2020-01-31,-1,0,0,"daily"
"616","South Australia",2020-01-31,0,0,0,"daily"
"617","Western Australia",2020-01-31,0,0,0,"daily"
"618","Tasmania",2020-01-31,0,0,0,"daily"
"619","Northern Territory",2020-01-31,0,0,0,"daily"
"620","Australian Capital Territory",2020-01-31,0,0,0,"daily"
"621","New South Wales",2020-02-01,0,0,0,"daily"
"622","Victoria",2020-02-01,1,0,0,"daily"
"623","Queensland",2020-02-01,1,0,0,"daily"
"624","South Australia",2020-02-01,1,0,0,"daily"
"625","Western Australia",2020-02-01,0,0,0,"daily"
"626","Tasmania",2020-02-01,0,0,0,"daily"
"627","Northern Territory",2020-02-01,0,0,0,"daily"
"628","Australian Capital Territory",2020-02-01,0,0,0,"daily"
"629","New South Wales",2020-02-02,0,0,0,"daily"
"630","Victoria",2020-02-02,0,0,0,"daily"
"631","Queensland",2020-02-02,-1,0,0,"daily"
"632","South Australia",2020-02-02,1,0,0,"daily"
"633","Western Australia",2020-02-02,0,0,0,"daily"
"634","Tasmania",2020-02-02,0,0,0,"daily"
"635","Northern Territory",2020-02-02,0,0,0,"daily"
"636","Australian Capital Territory",2020-02-02,0,0,0,"daily"
"637","New South Wales",2020-02-03,0,0,0,"daily"
"638","Victoria",2020-02-03,0,0,0,"daily"
"639","Queensland",2020-02-03,0,0,0,"daily"
"640","South Australia",2020-02-03,0,0,0,"daily"
"641","Western Australia",2020-02-03,0,0,0,"daily"
"642","Tasmania",2020-02-03,0,0,0,"daily"
"643","Northern Territory",2020-02-03,0,0,0,"daily"
"644","Australian Capital Territory",2020-02-03,0,0,0,"daily"
"645","New South Wales",2020-02-04,0,0,0,"daily"
"646","Victoria",2020-02-04,0,0,0,"daily"
"647","Queensland",2020-02-04,1,0,0,"daily"
"648","South Australia",2020-02-04,0,0,0,"daily"
"649","Western Australia",2020-02-04,0,0,0,"daily"
"650","Tasmania",2020-02-04,0,0,0,"daily"
"651","Northern Territory",2020-02-04,0,0,0,"daily"
"652","Australian Capital Territory",2020-02-04,0,0,0,"daily"
"653","New South Wales",2020-02-05,0,0,0,"daily"
"654","Victoria",2020-02-05,0,0,0,"daily"
"655","Queensland",2020-02-05,0,0,0,"daily"
"656","South Australia",2020-02-05,0,0,0,"daily"
"657","Western Australia",2020-02-05,0,0,0,"daily"
"658","Tasmania",2020-02-05,0,0,0,"daily"
"659","Northern Territory",2020-02-05,0,0,0,"daily"
"660","Australian Capital Territory",2020-02-05,0,0,0,"daily"
"661","New South Wales",2020-02-06,0,0,0,"daily"
"662","Victoria",2020-02-06,0,0,0,"daily"
"663","Queensland",2020-02-06,1,0,0,"daily"
"664","South Australia",2020-02-06,0,0,0,"daily"
"665","Western Australia",2020-02-06,0,0,0,"daily"
"666","Tasmania",2020-02-06,0,0,0,"daily"
"667","Northern Territory",2020-02-06,0,0,0,"daily"
"668","Australian Capital Territory",2020-02-06,0,0,0,"daily"
"669","New South Wales",2020-02-07,0,0,0,"daily"
"670","Victoria",2020-02-07,0,0,0,"daily"
"671","Queensland",2020-02-07,1,0,0,"daily"
"672","South Australia",2020-02-07,0,0,0,"daily"
"673","Western Australia",2020-02-07,0,0,0,"daily"
"674","Tasmania",2020-02-07,0,0,0,"daily"
"675","Northern Territory",2020-02-07,0,0,0,"daily"
"676","Australian Capital Territory",2020-02-07,0,0,0,"daily"
"677","New South Wales",2020-02-08,0,0,0,"daily"
"678","Victoria",2020-02-08,0,0,0,"daily"
"679","Queensland",2020-02-08,0,0,0,"daily"
"680","South Australia",2020-02-08,0,0,0,"daily"
"681","Western Australia",2020-02-08,0,0,0,"daily"
"682","Tasmania",2020-02-08,0,0,0,"daily"
"683","Northern Territory",2020-02-08,0,0,0,"daily"
"684","Australian Capital Territory",2020-02-08,0,0,0,"daily"
"685","New South Wales",2020-02-09,0,0,0,"daily"
"686","Victoria",2020-02-09,0,0,0,"daily"
"687","Queensland",2020-02-09,0,0,0,"daily"
"688","South Australia",2020-02-09,0,0,0,"daily"
"689","Western Australia",2020-02-09,0,0,0,"daily"
"690","Tasmania",2020-02-09,0,0,0,"daily"
"691","Northern Territory",2020-02-09,0,0,0,"daily"
"692","Australian Capital Territory",2020-02-09,0,0,0,"daily"
"693","New South Wales",2020-02-10,0,0,0,"daily"
"694","Victoria",2020-02-10,0,0,0,"daily"
"695","Queensland",2020-02-10,0,0,0,"daily"
"696","South Australia",2020-02-10,0,0,0,"daily"
"697","Western Australia",2020-02-10,0,0,0,"daily"
"698","Tasmania",2020-02-10,0,0,0,"daily"
"699","Northern Territory",2020-02-10,0,0,0,"daily"
"700","Australian Capital Territory",2020-02-10,0,0,0,"daily"
"701","New South Wales",2020-02-11,0,0,0,"daily"
"702","Victoria",2020-02-11,0,0,0,"daily"
"703","Queensland",2020-02-11,0,0,0,"daily"
"704","South Australia",2020-02-11,0,0,0,"daily"
"705","Western Australia",2020-02-11,0,0,0,"daily"
"706","Tasmania",2020-02-11,0,0,0,"daily"
"707","Northern Territory",2020-02-11,0,0,0,"daily"
"708","Australian Capital Territory",2020-02-11,0,0,0,"daily"
"709","New South Wales",2020-02-12,0,0,0,"daily"
"710","Victoria",2020-02-12,0,0,0,"daily"
"711","Queensland",2020-02-12,0,0,0,"daily"
"712","South Australia",2020-02-12,0,0,0,"daily"
"713","Western Australia",2020-02-12,0,0,0,"daily"
"714","Tasmania",2020-02-12,0,0,0,"daily"
"715","Northern Territory",2020-02-12,0,0,0,"daily"
"716","Australian Capital Territory",2020-02-12,0,0,0,"daily"
"717","New South Wales",2020-02-13,0,0,2,"daily"
"718","Victoria",2020-02-13,0,0,4,"daily"
"719","Queensland",2020-02-13,0,0,0,"daily"
"720","South Australia",2020-02-13,0,0,0,"daily"
"721","Western Australia",2020-02-13,0,0,0,"daily"
"722","Tasmania",2020-02-13,0,0,0,"daily"
"723","Northern Territory",2020-02-13,0,0,0,"daily"
"724","Australian Capital Territory",2020-02-13,0,0,0,"daily"
"725","New South Wales",2020-02-14,0,0,0,"daily"
"726","Victoria",2020-02-14,0,0,0,"daily"
"727","Queensland",2020-02-14,0,0,0,"daily"
"728","South Australia",2020-02-14,0,0,0,"daily"
"729","Western Australia",2020-02-14,0,0,0,"daily"
"730","Tasmania",2020-02-14,0,0,0,"daily"
"731","Northern Territory",2020-02-14,0,0,0,"daily"
"732","Australian Capital Territory",2020-02-14,0,0,0,"daily"
"733","New South Wales",2020-02-15,0,0,0,"daily"
"734","Victoria",2020-02-15,0,0,0,"daily"
"735","Queensland",2020-02-15,0,0,0,"daily"
"736","South Australia",2020-02-15,0,0,0,"daily"
"737","Western Australia",2020-02-15,0,0,0,"daily"
"738","Tasmania",2020-02-15,0,0,0,"daily"
"739","Northern Territory",2020-02-15,0,0,0,"daily"
"740","Australian Capital Territory",2020-02-15,0,0,0,"daily"
"741","New South Wales",2020-02-16,0,0,0,"daily"
"742","Victoria",2020-02-16,0,0,0,"daily"
"743","Queensland",2020-02-16,0,0,0,"daily"
"744","South Australia",2020-02-16,0,0,0,"daily"
"745","Western Australia",2020-02-16,0,0,0,"daily"
"746","Tasmania",2020-02-16,0,0,0,"daily"
"747","Northern Territory",2020-02-16,0,0,0,"daily"
"748","Australian Capital Territory",2020-02-16,0,0,0,"daily"
"749","New South Wales",2020-02-17,0,0,0,"daily"
"750","Victoria",2020-02-17,0,0,0,"daily"
"751","Queensland",2020-02-17,0,0,0,"daily"
"752","South Australia",2020-02-17,0,0,2,"daily"
"753","Western Australia",2020-02-17,0,0,0,"daily"
"754","Tasmania",2020-02-17,0,0,0,"daily"
"755","Northern Territory",2020-02-17,0,0,0,"daily"
"756","Australian Capital Territory",2020-02-17,0,0,0,"daily"
"757","New South Wales",2020-02-18,0,0,0,"daily"
"758","Victoria",2020-02-18,0,0,0,"daily"
"759","Queensland",2020-02-18,0,0,0,"daily"
"760","South Australia",2020-02-18,0,0,0,"daily"
"761","Western Australia",2020-02-18,0,0,0,"daily"
"762","Tasmania",2020-02-18,0,0,0,"daily"
"763","Northern Territory",2020-02-18,0,0,0,"daily"
"764","Australian Capital Territory",2020-02-18,0,0,0,"daily"
"765","New South Wales",2020-02-19,0,0,0,"daily"
"766","Victoria",2020-02-19,0,0,0,"daily"
"767","Queensland",2020-02-19,0,0,0,"daily"
"768","South Australia",2020-02-19,0,0,0,"daily"
"769","Western Australia",2020-02-19,0,0,0,"daily"
"770","Tasmania",2020-02-19,0,0,0,"daily"
"771","Northern Territory",2020-02-19,0,0,0,"daily"
"772","Australian Capital Territory",2020-02-19,0,0,0,"daily"
"773","New South Wales",2020-02-20,0,0,0,"daily"
"774","Victoria",2020-02-20,0,0,0,"daily"
"775","Queensland",2020-02-20,0,0,0,"daily"
"776","South Australia",2020-02-20,0,0,0,"daily"
"777","Western Australia",2020-02-20,0,0,0,"daily"
"778","Tasmania",2020-02-20,0,0,0,"daily"
"779","Northern Territory",2020-02-20,0,0,0,"daily"
"780","Australian Capital Territory",2020-02-20,0,0,0,"daily"
"781","New South Wales",2020-02-21,0,0,0,"daily"
"782","Victoria",2020-02-21,0,0,0,"daily"
"783","Queensland",2020-02-21,0,0,1,"daily"
"784","South Australia",2020-02-21,0,0,0,"daily"
"785","Western Australia",2020-02-21,0,0,0,"daily"
"786","Tasmania",2020-02-21,0,0,0,"daily"
"787","Northern Territory",2020-02-21,0,0,0,"daily"
"788","Australian Capital Territory",2020-02-21,0,0,0,"daily"
"789","New South Wales",2020-02-22,0,0,0,"daily"
"790","Victoria",2020-02-22,0,0,0,"daily"
"791","Queensland",2020-02-22,0,0,0,"daily"
"792","South Australia",2020-02-22,0,0,0,"daily"
"793","Western Australia",2020-02-22,0,0,0,"daily"
"794","Tasmania",2020-02-22,0,0,0,"daily"
"795","Northern Territory",2020-02-22,0,0,0,"daily"
"796","Australian Capital Territory",2020-02-22,0,0,0,"daily"
"797","New South Wales",2020-02-23,0,0,0,"daily"
"798","Victoria",2020-02-23,0,0,0,"daily"
"799","Queensland",2020-02-23,0,0,0,"daily"
"800","South Australia",2020-02-23,0,0,0,"daily"
"801","Western Australia",2020-02-23,0,0,0,"daily"
"802","Tasmania",2020-02-23,0,0,0,"daily"
"803","Northern Territory",2020-02-23,0,0,0,"daily"
"804","Australian Capital Territory",2020-02-23,0,0,0,"daily"
"805","New South Wales",2020-02-24,0,0,0,"daily"
"806","Victoria",2020-02-24,0,0,0,"daily"
"807","Queensland",2020-02-24,0,0,0,"daily"
"808","South Australia",2020-02-24,0,0,0,"daily"
"809","Western Australia",2020-02-24,0,0,0,"daily"
"810","Tasmania",2020-02-24,0,0,0,"daily"
"811","Northern Territory",2020-02-24,0,0,0,"daily"
"812","Australian Capital Territory",2020-02-24,0,0,0,"daily"
"813","New South Wales",2020-02-25,0,0,0,"daily"
"814","Victoria",2020-02-25,0,0,0,"daily"
"815","Queensland",2020-02-25,0,0,0,"daily"
"816","South Australia",2020-02-25,0,0,0,"daily"
"817","Western Australia",2020-02-25,0,0,0,"daily"
"818","Tasmania",2020-02-25,0,0,0,"daily"
"819","Northern Territory",2020-02-25,0,0,0,"daily"
"820","Australian Capital Territory",2020-02-25,0,0,0,"daily"
"821","New South Wales",2020-02-26,0,0,0,"daily"
"822","Victoria",2020-02-26,0,0,0,"daily"
"823","Queensland",2020-02-26,0,0,0,"daily"
"824","South Australia",2020-02-26,0,0,0,"daily"
"825","Western Australia",2020-02-26,0,0,0,"daily"
"826","Tasmania",2020-02-26,0,0,0,"daily"
"827","Northern Territory",2020-02-26,0,0,0,"daily"
"828","Australian Capital Territory",2020-02-26,0,0,0,"daily"
"829","New South Wales",2020-02-27,0,0,0,"daily"
"830","Victoria",2020-02-27,0,0,0,"daily"
"831","Queensland",2020-02-27,0,0,0,"daily"
"832","South Australia",2020-02-27,0,0,0,"daily"
"833","Western Australia",2020-02-27,0,0,0,"daily"
"834","Tasmania",2020-02-27,0,0,0,"daily"
"835","Northern Territory",2020-02-27,0,0,0,"daily"
"836","Australian Capital Territory",2020-02-27,0,0,0,"daily"
"837","New South Wales",2020-02-28,0,0,0,"daily"
"838","Victoria",2020-02-28,0,0,0,"daily"
"839","Queensland",2020-02-28,0,0,0,"daily"
"840","South Australia",2020-02-28,0,0,0,"daily"
"841","Western Australia",2020-02-28,0,0,0,"daily"
"842","Tasmania",2020-02-28,0,0,0,"daily"
"843","Northern Territory",2020-02-28,0,0,0,"daily"
"844","Australian Capital Territory",2020-02-28,0,0,0,"daily"
"845","New South Wales",2020-02-29,0,0,0,"daily"
"846","Victoria",2020-02-29,3,0,0,"daily"
"847","Queensland",2020-02-29,4,0,0,"daily"
"848","South Australia",2020-02-29,1,0,0,"daily"
"849","Western Australia",2020-02-29,2,0,0,"daily"
"850","Tasmania",2020-02-29,0,0,0,"daily"
"851","Northern Territory",2020-02-29,0,0,0,"daily"
"852","Australian Capital Territory",2020-02-29,0,0,0,"daily"
"853","New South Wales",2020-03-01,2,0,0,"daily"
"854","Victoria",2020-03-01,0,0,0,"daily"
"855","Queensland",2020-03-01,0,0,0,"daily"
"856","South Australia",2020-03-01,0,0,0,"daily"
"857","Western Australia",2020-03-01,0,1,0,"daily"
"858","Tasmania",2020-03-01,0,0,0,"daily"
"859","Northern Territory",2020-03-01,0,0,0,"daily"
"860","Australian Capital Territory",2020-03-01,0,0,0,"daily"
"861","New South Wales",2020-03-02,0,0,0,"daily"
"862","Victoria",2020-03-02,2,0,0,"daily"
"863","Queensland",2020-03-02,0,0,0,"daily"
"864","South Australia",2020-03-02,0,0,0,"daily"
"865","Western Australia",2020-03-02,0,0,0,"daily"
"866","Tasmania",2020-03-02,1,0,0,"daily"
"867","Northern Territory",2020-03-02,0,0,0,"daily"
"868","Australian Capital Territory",2020-03-02,0,0,0,"daily"
"869","New South Wales",2020-03-03,7,0,0,"daily"
"870","Victoria",2020-03-03,0,0,0,"daily"
"871","Queensland",2020-03-03,2,0,0,"daily"
"872","South Australia",2020-03-03,0,0,0,"daily"
"873","Western Australia",2020-03-03,0,0,0,"daily"
"874","Tasmania",2020-03-03,0,0,0,"daily"
"875","Northern Territory",2020-03-03,0,0,0,"daily"
"876","Australian Capital Territory",2020-03-03,0,0,0,"daily"
"877","New South Wales",2020-03-04,9,1,0,"daily"
"878","Victoria",2020-03-04,1,0,0,"daily"
"879","Queensland",2020-03-04,0,0,0,"daily"
"880","South Australia",2020-03-04,2,0,0,"daily"
"881","Western Australia",2020-03-04,0,0,0,"daily"
"882","Tasmania",2020-03-04,0,0,0,"daily"
"883","Northern Territory",2020-03-04,1,0,0,"daily"
"884","Australian Capital Territory",2020-03-04,0,0,0,"daily"
"885","New South Wales",2020-03-05,0,0,0,"daily"
"886","Victoria",2020-03-05,0,0,3,"daily"
"887","Queensland",2020-03-05,2,0,7,"daily"
"888","South Australia",2020-03-05,0,0,0,"daily"
"889","Western Australia",2020-03-05,1,0,0,"daily"
"890","Tasmania",2020-03-05,0,0,0,"daily"
"891","Northern Territory",2020-03-05,0,0,0,"daily"
"892","Australian Capital Territory",2020-03-05,0,0,0,"daily"
"893","New South Wales",2020-03-06,4,0,0,"daily"
"894","Victoria",2020-03-06,0,0,0,"daily"
"895","Queensland",2020-03-06,0,0,0,"daily"
"896","South Australia",2020-03-06,2,0,0,"daily"
"897","Western Australia",2020-03-06,0,0,0,"daily"
"898","Tasmania",2020-03-06,0,0,0,"daily"
"899","Northern Territory",2020-03-06,-1,0,0,"daily"
"900","Australian Capital Territory",2020-03-06,0,0,0,"daily"
"901","New South Wales",2020-03-07,2,0,0,"daily"
"902","Victoria",2020-03-07,1,0,0,"daily"
"903","Queensland",2020-03-07,0,0,0,"daily"
"904","South Australia",2020-03-07,0,0,0,"daily"
"905","Western Australia",2020-03-07,0,0,0,"daily"
"906","Tasmania",2020-03-07,0,0,0,"daily"
"907","Northern Territory",2020-03-07,0,0,0,"daily"
"908","Australian Capital Territory",2020-03-07,0,0,0,"daily"
"909","New South Wales",2020-03-08,10,1,0,"daily"
"910","Victoria",2020-03-08,0,0,0,"daily"
"911","Queensland",2020-03-08,2,0,0,"daily"
"912","South Australia",2020-03-08,0,0,0,"daily"
"913","Western Australia",2020-03-08,0,0,0,"daily"
"914","Tasmania",2020-03-08,1,0,0,"daily"
"915","Northern Territory",2020-03-08,0,0,0,"daily"
"916","Australian Capital Territory",2020-03-08,0,0,0,"daily"
"917","New South Wales",2020-03-09,10,0,0,"daily"
"918","Victoria",2020-03-09,4,0,0,"daily"
"919","Queensland",2020-03-09,0,0,0,"daily"
"920","South Australia",2020-03-09,0,0,0,"daily"
"921","Western Australia",2020-03-09,1,0,0,"daily"
"922","Tasmania",2020-03-09,0,0,0,"daily"
"923","Northern Territory",2020-03-09,0,0,0,"daily"
"924","Australian Capital Territory",2020-03-09,0,0,0,"daily"
"925","New South Wales",2020-03-10,7,0,0,"daily"
"926","Victoria",2020-03-10,3,0,0,"daily"
"927","Queensland",2020-03-10,3,0,0,"daily"
"928","South Australia",2020-03-10,0,0,0,"daily"
"929","Western Australia",2020-03-10,2,0,0,"daily"
"930","Tasmania",2020-03-10,0,0,0,"daily"
"931","Northern Territory",2020-03-10,1,0,0,"daily"
"932","Australian Capital Territory",2020-03-10,0,0,0,"daily"
"933","New South Wales",2020-03-11,10,0,0,"daily"
"934","Victoria",2020-03-11,3,0,0,"daily"
"935","Queensland",2020-03-11,2,0,0,"daily"
"936","South Australia",2020-03-11,2,0,0,"daily"
"937","Western Australia",2020-03-11,3,0,0,"daily"
"938","Tasmania",2020-03-11,1,0,0,"daily"
"939","Northern Territory",2020-03-11,0,0,0,"daily"
"940","Australian Capital Territory",2020-03-11,0,0,0,"daily"
"941","New South Wales",2020-03-12,0,0,0,"daily"
"942","Victoria",2020-03-12,0,0,0,"daily"
"943","Queensland",2020-03-12,0,0,0,"daily"
"944","South Australia",2020-03-12,0,0,0,"daily"
"945","Western Australia",2020-03-12,0,0,0,"daily"
"946","Tasmania",2020-03-12,0,0,0,"daily"
"947","Northern Territory",2020-03-12,0,0,0,"daily"
"948","Australian Capital Territory",2020-03-12,0,0,0,"daily"
"949","New South Wales",2020-03-13,27,0,0,"daily"
"950","Victoria",2020-03-13,15,0,1,"daily"
"951","Queensland",2020-03-13,15,0,0,"daily"
"952","South Australia",2020-03-13,7,0,1,"daily"
"953","Western Australia",2020-03-13,5,0,0,"daily"
"954","Tasmania",2020-03-13,2,0,0,"daily"
"955","Northern Territory",2020-03-13,0,0,0,"daily"
"956","Australian Capital Territory",2020-03-13,1,0,0,"daily"
"957","New South Wales",2020-03-14,20,0,0,"daily"
"958","Victoria",2020-03-14,13,0,0,"daily"
"959","Queensland",2020-03-14,11,0,0,"daily"
"960","South Australia",2020-03-14,3,0,0,"daily"
"961","Western Australia",2020-03-14,3,0,0,"daily"
"962","Tasmania",2020-03-14,0,0,0,"daily"
"963","Northern Territory",2020-03-14,0,0,0,"daily"
"964","Australian Capital Territory",2020-03-14,0,0,0,"daily"
"965","New South Wales",2020-03-15,22,0,0,"daily"
"966","Victoria",2020-03-15,8,0,0,"daily"
"967","Queensland",2020-03-15,15,0,0,"daily"
"968","South Australia",2020-03-15,1,0,0,"daily"
"969","Western Australia",2020-03-15,0,0,0,"daily"
"970","Tasmania",2020-03-15,1,0,0,"daily"
"971","Northern Territory",2020-03-15,0,0,0,"daily"
"972","Australian Capital Territory",2020-03-15,0,0,0,"daily"
"973","New South Wales",2020-03-16,37,0,0,"daily"
"974","Victoria",2020-03-16,14,0,0,"daily"
"975","Queensland",2020-03-16,7,0,0,"daily"
"976","South Australia",2020-03-16,9,0,0,"daily"
"977","Western Australia",2020-03-16,11,0,0,"daily"
"978","Tasmania",2020-03-16,1,0,0,"daily"
"979","Northern Territory",2020-03-16,0,0,0,"daily"
"980","Australian Capital Territory",2020-03-16,1,0,0,"daily"
"981","New South Wales",2020-03-17,39,2,0,"daily"
"982","Victoria",2020-03-17,23,0,0,"daily"
"983","Queensland",2020-03-17,10,0,0,"daily"
"984","South Australia",2020-03-17,0,0,0,"daily"
"985","Western Australia",2020-03-17,3,0,0,"daily"
"986","Tasmania",2020-03-17,0,0,0,"daily"
"987","Northern Territory",2020-03-17,0,0,0,"daily"
"988","Australian Capital Territory",2020-03-17,0,0,0,"daily"
"989","New South Wales",2020-03-18,57,1,0,"daily"
"990","Victoria",2020-03-18,27,0,0,"daily"
