"","state","date","confirmed","deaths","recovered","type"
"96","Australian Capital Territory",2020-02-02,0,0,0,"cumulative"
"97","New South Wales",2020-02-03,4,0,2,"cumulative"
"98","Victoria",2020-02-03,4,0,0,"cumulative"
"99","Queensland",2020-02-03,2,0,0,"cumulative"
"100","South Australia",2020-02-03,2,0,0,"cumulative"
"101","Western Australia",2020-02-03,0,0,0,"cumulative"
"102","Tasmania",2020-02-03,0,0,0,"cumulative"
"103","Northern Territory",2020-02-03,0,0,0,"cumulative"
"104","Australian Capital Territory",2020-02-03,0,0,0,"cumulative"
"105","New South Wales",2020-02-04,4,0,2,"cumulative"
"106","Victoria",2020-02-04,4,0,0,"cumulative"
"107","Queensland",2020-02-04,3,0,0,"cumulative"
"108","South Australia",2020-02-04,2,0,0,"cumulative"
"109","Western Australia",2020-02-04,0,0,0,"cumulative"
"110","Tasmania",2020-02-04,0,0,0,"cumulative"
"111","Northern Territory",2020-02-04,0,0,0,"cumulative"
"112","Australian Capital Territory",2020-02-04,0,0,0,"cumulative"
"113","New South Wales",2020-02-05,4,0,2,"cumulative"
"114","Victoria",2020-02-05,4,0,0,"cumulative"
"115","Queensland",2020-02-05,3,0,0,"cumulative"
"116","South Australia",2020-02-05,2,0,0,"cumulative"
"117","Western Australia",2020-02-05,0,0,0,"cumulative"
"118","Tasmania",2020-02-05,0,0,0,"cumulative"
"119","Northern Territory",2020-02-05,0,0,0,"cumulative"
"120","Australian Capital Territory",2020-02-05,0,0,0,"cumulative"
"121","New South Wales",2020-02-06,4,0,2,"cumulative"
"122","Victoria",2020-02-06,4,0,0,"cumulative"
"123","Queensland",2020-02-06,4,0,0,"cumulative"
"124","South Australia",2020-02-06,2,0,0,"cumulative"
"125","Western Australia",2020-02-06,0,0,0,"cumulative"
"126","Tasmania",2020-02-06,0,0,0,"cumulative"
"127","Northern Territory",2020-02-06,0,0,0,"cumulative"
"128","Australian Capital Territory",2020-02-06,0,0,0,"cumulative"
"129","New South Wales",2020-02-07,4,0,2,"cumulative"
"130","Victoria",2020-02-07,4,0,0,"cumulative"
"131","Queensland",2020-02-07,5,0,0,"cumulative"
"132","South Australia",2020-02-07,2,0,0,"cumulative"
"133","Western Australia",2020-02-07,0,0,0,"cumulative"
"134","Tasmania",2020-02-07,0,0,0,"cumulative"
"135","Northern Territory",2020-02-07,0,0,0,"cumulative"
"136","Australian Capital Territory",2020-02-07,0,0,0,"cumulative"
"137","New South Wales",2020-02-08,4,0,2,"cumulative"
"138","Victoria",2020-02-08,4,0,0,"cumulative"
"139","Queensland",2020-02-08,5,0,0,"cumulative"
"140","South Australia",2020-02-08,2,0,0,"cumulative"
"141","Western Australia",2020-02-08,0,0,0,"cumulative"
"142","Tasmania",2020-02-08,0,0,0,"cumulative"
"143","Northern Territory",2020-02-08,0,0,0,"cumulative"
"144","Australian Capital Territory",2020-02-08,0,0,0,"cumulative"
"145","New South Wales",2020-02-09,4,0,2,"cumulative"
"146","Victoria",2020-02-09,4,0,0,"cumulative"
"147","Queensland",2020-02-09,5,0,0,"cumulative"
"148","South Australia",2020-02-09,2,0,0,"cumulative"
"149","Western Australia",2020-02-09,0,0,0,"cumulative"
"150","Tasmania",2020-02-09,0,0,0,"cumulative"
"151","Northern Territory",2020-02-09,0,0,0,"cumulative"
"152","Australian Capital Territory",2020-02-09,0,0,0,"cumulative"
"153","New South Wales",2020-02-10,4,0,2,"cumulative"
"154","Victoria",2020-02-10,4,0,0,"cumulative"
"155","Queensland",2020-02-10,5,0,0,"cumulative"
"156","South Australia",2020-02-10,2,0,0,"cumulative"
"157","Western Australia",2020-02-10,0,0,0,"cumulative"
"158","Tasmania",2020-02-10,0,0,0,"cumulative"
"159","Northern Territory",2020-02-10,0,0,0,"cumulative"
"160","Australian Capital Territory",2020-02-10,0,0,0,"cumulative"
"161","New South Wales",2020-02-11,4,0,2,"cumulative"
"162","Victoria",2020-02-11,4,0,0,"cumulative"
"163","Queensland",2020-02-11,5,0,0,"cumulative"
"164","South Australia",2020-02-11,2,0,0,"cumulative"
"165","Western Australia",2020-02-11,0,0,0,"cumulative"
"166","Tasmania",2020-02-11,0,0,0,"cumulative"
"167","Northern Territory",2020-02-11,0,0,0,"cumulative"
"168","Australian Capital Territory",2020-02-11,0,0,0,"cumulative"
"169","New South Wales",2020-02-12,4,0,2,"cumulative"
"170","Victoria",2020-02-12,4,0,0,"cumulative"
"171","Queensland",2020-02-12,5,0,0,"cumulative"
"172","South Australia",2020-02-12,2,0,0,"cumulative"
"173","Western Australia",2020-02-12,0,0,0,"cumulative"
"174","Tasmania",2020-02-12,0,0,0,"cumulative"
"175","Northern Territory",2020-02-12,0,0,0,"cumulative"
"176","Australian Capital Territory",2020-02-12,0,0,0,"cumulative"
"177","New South Wales",2020-02-13,4,0,4,"cumulative"
"178","Victoria",2020-02-13,4,0,4,"cumulative"
"179","Queensland",2020-02-13,5,0,0,"cumulative"
"180","South Australia",2020-02-13,2,0,0,"cumulative"
"181","Western Australia",2020-02-13,0,0,0,"cumulative"
"182","Tasmania",2020-02-13,0,0,0,"cumulative"
"183","Northern Territory",2020-02-13,0,0,0,"cumulative"
"184","Australian Capital Territory",2020-02-13,0,0,0,"cumulative"
"185","New South Wales",2020-02-14,4,0,4,"cumulative"
"186","Victoria",2020-02-14,4,0,4,"cumulative"
"187","Queensland",2020-02-14,5,0,0,"cumulative"
"188","South Australia",2020-02-14,2,0,0,"cumulative"
"189","Western Australia",2020-02-14,0,0,0,"cumulative"
"190","Tasmania",2020-02-14,0,0,0,"cumulative"
"191","Northern Territory",2020-02-14,0,0,0,"cumulative"
"192","Australian Capital Territory",2020-02-14,0,0,0,"cumulative"
"193","New South Wales",2020-02-15,4,0,4,"cumulative"
"194","Victoria",2020-02-15,4,0,4,"cumulative"
"195","Queensland",2020-02-15,5,0,0,"cumulative"
"196","South Australia",2020-02-15,2,0,0,"cumulative"
"197","Western Australia",2020-02-15,0,0,0,"cumulative"
"198","Tasmania",2020-02-15,0,0,0,"cumulative"
"199","Northern Territory",2020-02-15,0,0,0,"cumulative"
"200","Australian Capital Territory",2020-02-15,0,0,0,"cumulative"
"201","New South Wales",2020-02-16,4,0,4,"cumulative"
"202","Victoria",2020-02-16,4,0,4,"cumulative"
"203","Queensland",2020-02-16,5,0,0,"cumulative"
"204","South Australia",2020-02-16,2,0,0,"cumulative"
"205","Western Australia",2020-02-16,0,0,0,"cumulative"
"206","Tasmania",2020-02-16,0,0,0,"cumulative"
"207","Northern Territory",2020-02-16,0,0,0,"cumulative"
"208","Australian Capital Territory",2020-02-16,0,0,0,"cumulative"
"209","New South Wales",2020-02-17,4,0,4,"cumulative"
"210","Victoria",2020-02-17,4,0,4,"cumulative"
"211","Queensland",2020-02-17,5,0,0,"cumulative"
"212","South Australia",2020-02-17,2,0,2,"cumulative"
"213","Western Australia",2020-02-17,0,0,0,"cumulative"
"214","Tasmania",2020-02-17,0,0,0,"cumulative"
"215","Northern Territory",2020-02-17,0,0,0,"cumulative"
"216","Australian Capital Territory",2020-02-17,0,0,0,"cumulative"
"217","New South Wales",2020-02-18,4,0,4,"cumulative"
"218","Victoria",2020-02-18,4,0,4,"cumulative"
"219","Queensland",2020-02-18,5,0,0,"cumulative"
"220","South Australia",2020-02-18,2,0,2,"cumulative"
"221","Western Australia",2020-02-18,0,0,0,"cumulative"
"222","Tasmania",2020-02-18,0,0,0,"cumulative"
"223","Northern Territory",2020-02-18,0,0,0,"cumulative"
"224","Australian Capital Territory",2020-02-18,0,0,0,"cumulative"
"225","New South Wales",2020-02-19,4,0,4,"cumulative"
"226","Victoria",2020-02-19,4,0,4,"cumulative"
"227","Queensland",2020-02-19,5,0,0,"cumulative"
"228","South Australia",2020-02-19,2,0,2,"cumulative"
"229","Western Australia",2020-02-19,0,0,0,"cumulative"
"230","Tasmania",2020-02-19,0,0,0,"cumulative"
"231","Northern Territory",2020-02-19,0,0,0,"cumulative"
"232","Australian Capital Territory",2020-02-19,0,0,0,"cumulative"
"233","New South Wales",2020-02-20,4,0,4,"cumulative"
"234","Victoria",2020-02-20,4,0,4,"cumulative"
